tweet_user,twitter_last_tweet,twitter_mean_rt_post,twitter_mean_like,twitter_mean_view,twitter_replied_count,twitter_ld_mean_rt_post,twitter_ld_mean_like,twitter_ld_mean_view,twitter_ld_replied_count,twitter_followers_count,twitter_friends_count,twitter_verified
Mintstargram,0 days 01:44:47.076216,24.0,58.0,406.0,3.0,17.0,36.0,94.0,6.0,2512,180,False
starterpool,2 days 18:34:03.643301,9.0,9.0,11497.0,1.0,56.0,18.0,454.0,2.0,2029,57,False
laavaai,1 days 02:14:52.372270,303.0,4892.0,1323614.0,678.0,1.0,1.0,26.0,0.0,818,82,False
memebattleroyal,33 days 15:56:23.864876,20.0,67.0,8895.0,75.0,0.0,0.0,56.0,0.0,303,259,False
starterpool,2 days 18:37:05.211858,12.0,30.0,216040.0,2.0,56.0,18.0,454.0,2.0,2029,57,False
laavaai,1 days 02:17:54.308479,303.0,4892.0,1323614.0,678.0,1.0,1.0,26.0,0.0,818,82,False
memebattleroyal,33 days 15:59:25.727683,20.0,67.0,8895.0,75.0,0.0,0.0,56.0,0.0,303,259,False
starterpool,2 days 18:38:43.751183,13.0,38.0,402360.0,5.0,56.0,18.0,454.0,2.0,2029,57,False
laavaai,1 days 02:19:32.648552,303.0,4892.0,1323615.0,678.0,1.0,1.0,26.0,0.0,818,82,False
memebattleroyal,33 days 16:01:04.203097,20.0,67.0,8895.0,75.0,0.0,0.0,56.0,0.0,303,259,False
